,,0
28,48,15.541949235922
28,50,15.572473625927508
28,52,15.573789637665486
28,54,15.575105649403461
28,56,15.576421661141438
28,58,15.577737672879415
28,60,15.469970397233471
28,62,15.472157155802094
28,64,15.474343914370712
28,66,15.476530672939335
28,68,15.478717431507958
28,70,15.728003728302411
28,72,15.73388897939565
28,74,15.73977423048889
28,76,15.74565948158213
28,78,15.75154473267537
28,80,15.757429983768612
28,82,15.76331523486185
28,84,15.76920048595509
28,86,15.77508573704833
28,88,15.78097098814157
28,90,15.786856239234812
28,92,15.792741490328051
28,94,15.79862674142129
28,96,15.80451199251453
28,98,15.81039724360777
30,10,17.059156019110244
30,12,15.705963423774897
30,14,15.567974136821075
30,16,15.429984849867251
30,18,15.291995562913426
30,20,15.154006275959603
30,22,15.016016989005779
30,24,14.878027702051957
30,26,14.740038415098136
30,28,14.602049128144312
30,30,14.298782411248956
30,32,14.081766401927096
30,34,13.864750392605234
30,36,13.647734383283375
30,38,13.430718373961515
30,40,13.079424609320892
30,42,12.946626675278006
30,44,12.813828741235126
30,46,12.68103080719224
30,48,12.548232873149356
30,50,12.06184751776476
30,52,11.981775670920506
30,54,11.90170382407625
30,56,11.821631977231997
30,58,11.741560130387738
30,60,12.239535607547579
30,62,12.181628314096365
30,64,12.123721020645153
30,66,12.06581372719394
30,68,12.007906433742727
30,70,14.287170797480849
30,72,14.266687428719758
30,74,14.24620405995867
30,76,14.225720691197576
30,78,14.205237322436487
30,80,14.184753953675397
30,82,14.16427058491431
30,84,14.143787216153218
30,86,14.123303847392126
30,88,14.10282047863104
30,90,14.082337109869947
30,92,14.061853741108857
30,94,14.04137037234777
30,96,14.020887003586676
30,98,14.000403634825586
32,10,20.598771838782046
32,12,19.330153780655156
32,14,19.200788824135948
32,16,19.071423867616737
32,18,18.94205891109753
32,20,18.812693954578318
32,22,18.68332899805911
32,24,18.5539640415399
32,26,18.42459908502069
32,28,18.295234128501484
32,30,18.010921581412088
32,32,17.807469072672845
32,34,17.604016563933598
32,36,17.400564055194355
32,38,17.19711154645511
32,40,16.867773642104524
32,42,16.743275578939322
32,44,16.61877751577412
32,46,16.494279452608914
32,48,16.36978138944371
32,50,15.913795118770652
32,52,15.838727762354162
32,54,15.763660405937674
32,56,15.688593049521184
32,58,15.613525693104696
32,60,16.08037770294204
32,62,16.026089615331532
32,64,15.971801527721022
32,66,15.91751344011051
32,68,15.863225352499995
32,70,18.000035693504486
32,72,17.980832535290965
32,74,17.961629377077443
32,76,17.94242621886392
32,78,17.923223060650397
32,80,17.904019902436875
32,82,17.884816744223354
32,84,17.865613586009832
32,86,17.84641042779631
32,88,17.82720726958279
32,90,17.808004111369264
32,92,17.788800953155746
32,94,17.769597794942225
32,96,17.7503946367287
32,98,17.73119147851518
34,10,23.721962267904225
34,12,22.527968801431857
34,14,22.406213548237304
34,16,22.284458295042754
34,18,22.162703041848204
34,20,22.040947788653654
34,22,21.919192535459104
34,24,21.797437282264553
34,26,21.675682029070003
34,28,21.553926775875457
34,30,21.286338496261905
34,32,21.09485378215438
34,34,20.903369068046857
34,36,20.711884353939332
34,38,20.52039963983181
34,40,20.2104345533842
34,42,20.093259905699306
34,44,19.976085258014407
34,46,19.85891061032951
34,48,19.74173596264461
34,50,19.31257241377585
34,52,19.241920784207387
34,54,19.171269154638928
34,56,19.10061752507047
34,58,19.02996589550201
34,60,19.469356022407748
34,62,19.4182613517155
34,64,19.367166681023257
34,66,19.31607201033101
34,68,19.26497733963876
34,70,21.27609295470181
34,72,21.25801939403026
34,74,21.23994583335871
34,76,21.221872272687158
34,78,21.203798712015608
34,80,21.185725151344062
34,82,21.16765159067251
34,84,21.14957803000096
34,86,21.13150446932941
34,88,21.11343090865786
34,90,21.095357347986308
34,92,21.07728378731476
34,94,21.05921022664321
34,96,21.04113666597166
36,10,26.498131538235043
36,12,25.370471042122254
36,14,25.255479969660733
36,16,25.14048889719922
36,18,25.0254978247377
36,20,24.91050675227618
36,22,24.795515679814656
36,24,24.68052460735314
36,26,24.565533534891618
36,28,24.4505424624301
36,30,24.197820198350634
36,32,24.016973523915752
36,34,23.83612684948087
36,36,23.655280175045984
36,38,23.474433500611102
36,40,23.181688696743915
36,42,23.071023751708182
36,44,22.96035880667244
36,46,22.849693861636705
36,48,22.73902891660097
36,50,22.333707787113802
36,52,22.266981248076924
36,54,22.200254709040045
36,56,22.133528170003164
36,58,22.06680163096629
36,60,22.48178119526615
36,62,22.433525117390143
36,64,22.38526903951413
36,66,22.33701296163812
